SiO2 Na2O Al2O3 CaO B2O3 K2O MgO Li2O BaO PbO
88.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0
82.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0
72.0 0.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0
94.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
98.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0
96.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0
76.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0
74.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0
66.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0
64.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0
98.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
58.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0
56.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0
54.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0
52.0 48.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
58.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0
58.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0
56.0 0.0 0.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0
54.0 0.0 0.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0
78.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0
76.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0
96.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
94.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
90.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
88.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
86.0 0.0 14.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
84.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
82.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
78.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
76.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
99.85 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
99.57 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
99.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
99.07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
99.92 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
99.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 24.5 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0
75.0 21.25 0.0 0.0 0.0 0.0 0.0 3.75 0.0 0.0
75.0 16.25 0.0 0.0 0.0 0.0 0.0 8.75 0.0 0.0
75.0 8.75 0.0 0.0 0.0 0.0 0.0 16.25 0.0 0.0
75.0 3.75 0.0 0.0 0.0 0.0 0.0 21.25 0.0 0.0
75.0 1.25 0.0 0.0 0.0 0.0 0.0 23.75 0.0 0.0
75.0 0.5 0.0 0.0 0.0 0.0 0.0 24.5 0.0 0.0
75.0 0.12 0.0 0.0 0.0 0.0 0.0 24.87 0.0 0.0
85.0 11.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0
75.0 0.0 0.0 0.0 0.0 24.87 0.0 0.12 0.0 0.0
75.0 0.0 0.0 0.0 0.0 24.5 0.0 0.5 0.0 0.0
75.0 0.0 0.0 0.0 0.0 23.75 0.0 1.25 0.0 0.0
75.0 0.0 0.0 0.0 0.0 21.25 0.0 3.75 0.0 0.0
75.0 0.0 0.0 0.0 0.0 16.25 0.0 8.75 0.0 0.0
75.0 0.0 0.0 0.0 0.0 8.75 0.0 16.25 0.0 0.0
75.0 0.0 0.0 0.0 0.0 3.75 0.0 21.25 0.0 0.0
75.0 0.0 0.0 0.0 0.0 1.25 0.0 23.75 0.0 0.0
75.0 0.0 0.0 0.0 0.0 0.5 0.0 24.5 0.0 0.0
83.3 0.0 0.0 0.0 0.0 13.0 0.0 3.7 0.0 0.0
83.3 0.0 0.0 0.0 0.0 10.0 0.0 6.7 0.0 0.0
83.3 0.0 0.0 0.0 0.0 7.0 0.0 9.7 0.0 0.0
83.3 0.0 0.0 0.0 0.0 4.0 0.0 12.7 0.0 0.0
85.0 0.0 0.0 0.0 0.0 11.0 0.0 4.0 0.0 0.0
85.0 0.0 0.0 0.0 0.0 7.5 0.0 7.5 0.0 0.0
85.0 0.0 0.0 0.0 0.0 4.0 0.0 11.0 0.0 0.0
80.0 0.0 0.0 0.0 0.0 0.0 0.0 18.2 0.0 0.0
80.0 0.0 0.0 0.0 0.0 0.0 0.0 19.1 0.0 0.0
75.0 0.5 0.0 0.0 0.0 24.5 0.0 0.0 0.0 0.0
75.0 1.25 0.0 0.0 0.0 23.75 0.0 0.0 0.0 0.0
75.0 23.75 0.0 0.0 0.0 1.25 0.0 0.0 0.0 0.0
75.0 24.5 0.0 0.0 0.0 0.5 0.0 0.0 0.0 0.0
75.0 24.87 0.0 0.0 0.0 0.12 0.0 0.0 0.0 0.0
76.0 8.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0
76.0 20.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0
77.0 4.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0
77.0 8.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
77.0 16.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0
77.0 20.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0
78.0 4.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0
78.0 16.0 0.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0
78.0 20.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0
80.0 4.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0
80.0 8.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0
80.0 12.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0
80.0 16.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0
81.0 4.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
81.0 8.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0
81.0 12.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0
